File	:{'Rule': 1}
rba_CryptoHSM_KeyElementGet.c	:{'DCL00': 3, 'DCL19': 3, 'STR09': 2, 'STR34': 8}
rba_CryptoHSM_KeyElementIdsGet.c	:{'DCL00': 3, 'DCL19': 2}
rba_CryptoHSM_KeyElementSet.c	:{'DCL00': 2, 'DCL19': 2, 'STR34': 2}
rba_CryptoHSM_KeySetValid.c	:{'DCL00': 1, 'DCL19': 1}
rba_CryptoHSM_ProcessJob.c	:{'DCL00': 2, 'DCL19': 2, 'EXP34': 9}
rba_CryptoHSM_Prv_KeyManagement.c	:{'DCL00': 13, 'DCL06': 4, 'DCL13': 2, 'DCL15': 2, 'DCL19': 19, 'DCL23': 1, 'DCL40': 1, 'EXP05': 4, 'EXP07': 4, 'EXP20': 1, 'STR34': 5}
rba_CryptoHSM_RandomSeed.c	:{'DCL00': 3}
rba_DemBfm_Cfg_Nvm.c	:{'DCL00': 40, 'DCL06': 34, 'EXP07': 34}
Dem_EventAttribute.h	:{'DCL00': 4, 'PRE00': 2, 'PRE12': 1}
Det_ErrorSaver.c	:{'DCL00': 4}
Mcu.h	:{'DCL00': 2, 'PRE00': 1}
rba_Can_Cfg_Time.h	:{'DCL00': 3, 'DCL02': 1, 'DCL13': 1}
Eep_Rb_Timer.c	:{'DCL00': 1}
rba_MemLib_Cfg_Callouts.h	:{'DCL00': 2}
Rte_Dcm.h	:{'DCL00': 3}
Rte_SecOC.h	:{'DCL00': 2, 'DCL23': 2, 'PRE00': 2, 'PRE02': 2, 'PRE12': 2}
rb_dsai_CustDataSamplerAlgoInterface.c	:{'DCL00': 6, 'DCL15': 4, 'DCL19': 5, 'DCL23': 1, 'DCL40': 1, 'EXP00': 42, 'EXP02': 6, 'INT34': 9, 'STR09': 31, 'STR34': 31}
rb_co_CustCrashOutput_Interfaces.h	:{'DCL00': 4, 'DCL23': 1}
rb_codc_CustCODiagnosisCallback.c	:{'DCL00': 4, 'DCL13': 4}
rb_codc_CustCODiagnosisCallback.h	:{'DCL00': 4, 'DCL13': 4}
rb_coi_CustCrashOutputInterface.c	:{'DCL00': 2, 'DCL15': 1, 'DCL19': 1}
rb_ocs_CustOCSCommAdapter.c	:{'DCL00': 3, 'DCL13': 1}
rb_ocs_CustOCSCommAdapter.h	:{'DCL00': 3, 'DCL13': 1}
rb_ocs_CustOCSManagement_Interfaces.h	:{'DCL00': 9, 'DCL13': 2, 'DCL23': 1}
rb_vds_CustVehicleDynamicSensorHandler.c	:{'DCL00': 29, 'DCL06': 2, 'DCL15': 1, 'DCL19': 12, 'EXP07': 2, 'INT08': 10, 'INT30': 5, 'INT31': 9, 'INT34': 1, 'PRE02': 2, 'STR09': 4, 'STR34': 18}
rb_vds_CustVehicleDynamicSensorHandler.h	:{'DCL00': 1}
rb_wifh_CustWarningIndicatorFaultHandler.c	:{'DCL00': 4, 'DCL19': 15, 'INT34': 2, 'STR09': 1, 'STR34': 19}
rb_wim_CustWarningIndicatorMgt_Interfaces.h	:{'DCL00': 4, 'DCL23': 1}
rb_dsm_CustDSMTempFunctions.c	:{'DCL00': 7, 'PRE08': 1}
rb_dsm_CustDSMTempFunctions.h	:{'DCL00': 7}
rb_cap_CustFmCanApplication_Interfaces.h	:{'DCL00': 2, 'DCL23': 1}
rb_cap_CustRxCanApplication_Interfaces.h	:{'DCL00': 153, 'DCL13': 32, 'DCL23': 1}
rb_cdh_CustRxCanDataHandler.h	:{'DCL00': 1, 'EXP00': 1}
rb_cdi_CustRxCanDataInterface.h	:{'DCL00': 1}
rb_cdp_CustRxCanDataProcessor.h	:{'DCL00': 4}
rb_cap_CustTxCanApplication_Interfaces.h	:{'DCL00': 47, 'DCL13': 12, 'DCL23': 1}
rb_cdi_CustTxCanDataInterface.c	:{'DCL00': 25, 'DCL19': 4, 'STR09': 2, 'STR34': 3}
rb_cdp_CustTxCanDataProcessor.h	:{'DCL00': 4}
rb_fvh_CustFvHandler.c	:{'DCL00': 58, 'DCL06': 13, 'DCL13': 2, 'DCL19': 21, 'DCL23': 1, 'EXP07': 13, 'INT08': 11, 'INT30': 11, 'INT31': 7, 'PRE02': 41, 'STR34': 17}
rb_fvh_CustFvHandler_Interfaces.h	:{'DCL00': 16, 'DCL13': 2}
rb_dcdi_CustClearDiagnosticInformation.c	:{'DCL00': 3}
rb_dcdi_CustClearDiagnosticInformation.h	:{'DCL00': 3}
rb_dioc_CustInputOutputControlByIdentifier.h	:{'DCL00': 30, 'DCL13': 5}
rb_drc_CustRoutineControl.c	:{'DCL00': 16, 'DCL06': 7, 'DCL19': 1, 'EXP07': 7, 'STR34': 12}
rb_drc_CustRoutineControl.h	:{'DCL00': 8}
rb_drc_CustRoutineControl_Interfaces.h	:{'DCL00': 8}
rb_drc_CustVDSCalibration.h	:{'DCL00': 8, 'DCL06': 1, 'EXP07': 1}
rb_drdi_CustReadCrashRecorderData.h	:{'DCL00': 4}
rb_drdi_CustReadDataByIdentifier.h	:{'DCL00': 52, 'DCL13': 2}
rb_dsa_CustSecurityAccess.c	:{'DCL00': 14, 'DCL13': 3, 'DCL19': 3, 'EXP34': 3, 'PRE08': 1}
rb_dsa_CustSecurityAccess_Interfaces.h	:{'DCL00': 10, 'DCL13': 3}
rb_dsm_CustDCMApplInterface.c	:{'DCL00': 1}
rb_dsm_CustDiagnosticServiceInterface.c	:{'DCL00': 21, 'DCL06': 1, 'DCL23': 1, 'DCL40': 1, 'EXP07': 1, 'PRE02': 3, 'STR34': 2}
rb_dsm_CustDiagnosticServiceInterface.h	:{'DCL00': 2}
rb_dsm_CustReportDataByDtcNumber.h	:{'DCL00': 3}
rb_dwdi_CustWriteDataByIdentifier.h	:{'DCL00': 3}
rb_eol_CustEndOfLine_Interfaces.h	:{'DCL00': 12, 'DCL13': 2}
rb_dcbm_CustBufferManager.c	:{'DCL00': 9, 'DCL19': 3, 'EXP02': 6, 'STR09': 1, 'STR34': 7}
rb_dcci_CustDCControllerInterface.c	:{'DCL00': 9}
rb_dcdd_CustDynamicDataSamplerInterface.c	:{'DCL00': 45, 'DCL06': 2, 'DCL13': 1, 'DCL15': 1, 'DCL19': 58, 'EXP00': 1, 'EXP07': 2, 'EXP14': 14, 'EXP20': 2, 'EXP36': 4, 'INT00': 34, 'INT08': 76, 'INT30': 46, 'INT31': 56, 'INT34': 2, 'PRE00': 3, 'PRE02': 2, 'PRE08': 1, 'PRE12': 1, 'STR09': 26, 'STR34': 71}
rb_dcds_CustDataSampler.h	:{'DCL00': 4}
rb_dcrm_CustReportManager.h	:{'DCL00': 2, 'PRE02': 3}
rb_dcs_CustDataCollectorSystem_Interfaces.h	:{'DCL00': 233, 'DCL13': 67, 'DCL23': 1}
rb_dem_CustFaultMgmt.c	:{'DCL00': 13, 'DCL06': 6, 'DCL19': 1, 'EXP07': 6, 'EXP33': 4, 'PRE02': 7, 'STR34': 8}
rb_dem_CustFaultMgt_Interfaces.h	:{'DCL00': 35, 'DCL13': 1}
rb_demi_CustEventChangedInterface.c	:{'DCL00': 3, 'PRE02': 2}
rb_demi_CustInterface.c	:{'DCL00': 5, 'DCL19': 2}
rb_kms_CustKeyMgmtSystem_Interfaces.h	:{'DCL00': 24, 'DCL13': 2}
Compiler.h	:{'DCL02': 1, 'PRE00': 11, 'PRE01': 11, 'PRE02': 6, 'PRE12': 11}
Compiler_Cfg.h	:{'DCL02': 11, 'PRE00': 3, 'PRE11': 1, 'PRE12': 1}
Rte_Dcm_Type.h	:{'DCL02': 2}
rb_spi_SpiDriver_Cfg.h	:{'DCL02': 2}
rb_cap_RxCanApplicationOptions_Cfg.h	:{'DCL02': 1, 'DCL23': 5}
rb_wifh_CustWarningIndicatorFaultHandler.h	:{'DCL02': 1}
E2E_P22.h	:{'DCL06': 1, 'EXP07': 1}
Adc_Cfg.c	:{'DCL06': 2, 'EXP07': 2}
CanTp_Cfg.c	:{'DCL06': 2, 'DCL19': 1, 'DCL39': 2, 'EXP07': 2}
Dem_Cfg_Client_DataStructures.c	:{'DCL06': 1, 'EXP07': 1}
Dem_Cfg_DTC_DataStructures.c	:{'DCL06': 2, 'DCL19': 1, 'EXP07': 2, 'INT13': 280}
Dem_Cfg_Events_DataStructures.c	:{'DCL06': 2, 'EXP07': 2}
Port_Cfg.c	:{'DCL06': 2, 'EXP07': 2}
Rte_NvM_Type.h	:{'DCL06': 1, 'EXP07': 1}
Rte_SecOC_Type.h	:{'DCL06': 1, 'EXP07': 1}
rb_csem_CentralSensorMgt_Cfg.h	:{'DCL06': 1, 'EXP07': 1, 'PRE00': 2, 'STR09': 1, 'STR34': 1}
rb_dcs_DataCollectorSystem_InterfacesStaticDefinitions_Cfg.h	:{'DCL06': 68, 'DCL23': 3, 'EXP00': 6, 'EXP07': 68, 'PRE00': 1, 'PRE02': 5, 'STR09': 6, 'STR34': 6}
rb_sqm_SquibMgt_Cfg.h	:{'DCL06': 6, 'DCL19': 7, 'EXP07': 6}
rb_swm_SwitchMgt_Cfg.h	:{'DCL06': 1, 'DCL23': 4, 'EXP07': 1, 'PRE00': 25, 'PRE02': 1, 'PRE12': 5}
rb_drdi_CustReadDataByIdentifier_EeCfg.c	:{'DCL06': 6, 'DCL40': 1, 'EXP07': 6}
rb_kms_CustKeyMgmtSystem_EeCfg.c	:{'DCL06': 1, 'EXP07': 1}
rb_alg_AlgoParameters_RomCfg_1.c	:{'DCL06': 1, 'DCL23': 1, 'DCL40': 2, 'EXP07': 1, 'PRE06': 1}
rb_alg_AlgoParameters_RomCfg_2.c	:{'DCL06': 1, 'DCL19': 7, 'DCL23': 1, 'DCL40': 2, 'EXP07': 1, 'PRE06': 1}
rb_alg_AlgoParameters_RomCfg_3.c	:{'DCL06': 1, 'DCL19': 7, 'DCL23': 1, 'DCL40': 2, 'EXP07': 1, 'PRE06': 1}
rb_alg_AlgoParameters_RomCfg_4.c	:{'DCL06': 1, 'DCL19': 7, 'DCL23': 1, 'DCL40': 2, 'EXP07': 1, 'PRE06': 1}
rb_alg_MainIDs_RomCfg_1.c	:{'DCL06': 1, 'DCL23': 1, 'DCL40': 1, 'EXP07': 1, 'PRE06': 1}
rb_alg_MainIDs_RomCfg_2.c	:{'DCL06': 1, 'DCL19': 2, 'DCL23': 1, 'DCL40': 1, 'EXP07': 1, 'PRE06': 1}
rb_alg_MainIDs_RomCfg_3.c	:{'DCL06': 1, 'DCL19': 2, 'DCL23': 1, 'DCL40': 1, 'EXP07': 1, 'PRE06': 1}
rb_alg_MainIDs_RomCfg_4.c	:{'DCL06': 1, 'DCL19': 2, 'DCL23': 1, 'DCL40': 1, 'EXP07': 1, 'PRE06': 1}
rb_drdi_CustReadDataByIdentifier_Cfg.c	:{'DCL06': 1, 'EXP07': 1}
rb_blif_PKISecurityInfo_Cfg.h	:{'DCL06': 4, 'EXP07': 4}
rb_dioc_CrashActuatorTest_Cfg.h	:{'DCL06': 1, 'DCL19': 2, 'EXP07': 1}
rb_drdi_ReadCrashRecorderData_Cfg.h	:{'DCL06': 2, 'EXP07': 2}
rb_vdt_CustVehicleDataTransfer_Cfg.h	:{'DCL06': 3, 'DCL19': 1, 'DCL23': 11, 'EXP00': 23, 'EXP07': 3, 'PRE00': 1, 'PRE02': 1, 'PRE11': 1}
rb_vdt_CustVehicleDataTransfer_RomCfg.c	:{'DCL06': 1, 'DCL19': 1, 'EXP00': 1, 'EXP07': 1}
rb_csem_CentralSensorMgt_Cfg.c	:{'DCL06': 2, 'DCL23': 2, 'DCL40': 7, 'STR34': 1}
rb_ctf_CustTemporatyFunctions.h	:{'DCL07': 1, 'DCL20': 1}
CanTp_Types.h	:{'DCL12': 1, 'DCL39': 1}
rb_sfsm_StackMonitoringpar_Cfg.h	:{'DCL15': 1, 'DCL19': 1, 'EXP00': 5, 'EXP36': 2}
rb_cci_CustCanInterface.c	:{'DCL15': 1, 'DCL19': 1, 'PRE02': 2}
Csm_Init.c	:{'DCL19': 1, 'EXP20': 1}
Csm_MainFunction.c	:{'DCL19': 5, 'EXP20': 1}
rb_psei_CustPeripheralSensorInterface.c	:{'DCL19': 1, 'STR09': 1, 'STR34': 1}
rb_swmp_CustPadsInterface.c	:{'DCL19': 2}
rb_bg_CustBackgroundProcess.c	:{'DCL19': 2, 'INT08': 1, 'INT30': 1, 'INT31': 1, 'STR34': 3}
rb_mm_CustMazdaPlantModeHandler.c	:{'DCL19': 13, 'PRE02': 4}
BswM_PBcfg.h	:{'DCL19': 1}
CanTp_Cfg.h	:{'DCL19': 1, 'DCL23': 7, 'PRE00': 2, 'PRE12': 1}
PduR_Cfg.h	:{'DCL19': 1}
Com_Cfg.c	:{'DCL19': 1, 'DCL23': 8, 'DCL40': 8}
Csm_Cfg_Cbk.c	:{'DCL19': 1}
Ea_Cfg.c	:{'DCL19': 1}
Fee_Cfg.c	:{'DCL19': 1}
Spi_PBcfg.c	:{'DCL19': 1, 'DCL23': 1}
rb_acc_AlgoConsistencyChecks_Cfg.h	:{'DCL19': 2, 'STR09': 2, 'STR34': 19}
rb_alg_AlgoExternDefinitions.h	:{'DCL19': 27}
rb_bswm_BasicSwMgt_Cfg.h	:{'DCL19': 1}
rb_cap_FmCanApplication_Cfg.h	:{'DCL19': 2, 'PRE00': 1, 'PRE02': 1}
rb_dcc_DCController_Cfg.h	:{'DCL19': 1}
rb_pomm_powermanager_Cfg.h	:{'DCL19': 1, 'PRE02': 1}
rb_sbsh_HWBasedSecurityBaseServices_Cfg.h	:{'DCL19': 3, 'DCL23': 1}
rb_sfh_SensorFilterHandler_Cfg.h	:{'DCL19': 1, 'PRE00': 4}
rb_swvc_SoftwareVersion_Cfg.h	:{'DCL19': 2}
rb_syca_SysConfAsics_Cfg.h	:{'DCL19': 1, 'EXP00': 1, 'PRE00': 1, 'STR09': 1, 'STR34': 1}
rb_sycp_SysConfPs_Cfg.h	:{'DCL19': 1, 'EXP00': 2, 'PRE00': 6, 'STR09': 2, 'STR34': 2}
rb_bswm_BasicSwMgt_Cfg.c	:{'DCL19': 1, 'DCL40': 1}
rb_co_CrashOutput_Cfg.c	:{'DCL19': 1}
rb_dcc_DCController_Cfg.c	:{'DCL19': 1, 'EXP32': 39}
rb_pomm_powermanager_Cfg.c	:{'DCL19': 1, 'DCL40': 3}
rb_prd_ProductionDiagnosis_Cfg.c	:{'DCL19': 2, 'DCL40': 2}
rb_sbsh_HWBasedSecurityBaseServices_Cfg.c	:{'DCL19': 3}
rb_sfh_SensorFilterHandler_Cfg.c	:{'DCL19': 1, 'DCL23': 1, 'DCL40': 2}
rb_sqm_SquibMgt_Cfg.c	:{'DCL19': 7, 'DCL23': 2, 'DCL40': 2, 'PRE00': 1, 'PRE02': 1, 'PRE12': 1}
rb_swvc_SoftwareVersion_Cfg.c	:{'DCL19': 2, 'DCL23': 2, 'DCL40': 5}
rb_syca_SysConfAsics_Cfg.c	:{'DCL19': 1, 'DCL23': 1, 'DCL40': 2}
rb_sycp_SysConfPs_Cfg.c	:{'DCL19': 1, 'DCL23': 2, 'DCL40': 2}
rb_cap_FmCanApplication_RomCfg.c	:{'DCL19': 2}
rb_cap_RxCanApplication_RomCfg.c	:{'DCL19': 4}
rb_cap_TxCanApplication_RomCfg.c	:{'DCL19': 4}
rb_dcc_CommunicationControl_Cfg.h	:{'DCL19': 2, 'PRE00': 2, 'PRE02': 5}
rb_dcc_CommunicationControl_RomCfg.c	:{'DCL19': 2}
rb_simc_CustSensorInterfaceMonitoring.h	:{'DCL19': 6}
rb_blif_BootLoaderInterfaceSimplified_EeCfg.c	:{'DCL23': 3, 'DCL40': 11}
Crypto_GeneralTypes.h	:{'DCL23': 8}
Dem_Cfg_AssertionChk.h	:{'DCL23': 3, 'EXP00': 44}
rb_cap_RxCanApplication_Cfg.h	:{'DCL23': 5, 'PRE00': 2, 'PRE08': 1}
rb_co_CustCrashOutput_Cfg.h	:{'DCL23': 3, 'INT12': 8}
rb_fvh_CustFvHandler_Cfg.h	:{'DCL23': 9, 'PRE02': 8}
rb_sycc_SysConfCs_Cfg.h	:{'DCL23': 1, 'PRE00': 3}
rb_sycg_SysConfGeneral_Cfg.h	:{'DCL23': 4, 'EXP00': 2, 'PRE00': 1, 'STR09': 2, 'STR34': 2}
BswM_Cfg_MRP.h	:{'DCL23': 5}
Can_Cfg.h	:{'DCL23': 30, 'PRE00': 4, 'PRE03': 1, 'PRE12': 3}
Com_Cfg_SymbolicNames.h	:{'DCL23': 116}
Com_PBcfg_InternalId.h	:{'DCL23': 130}
CryIf_Cfg.h	:{'DCL23': 17}
Csm_Cfg.h	:{'DCL23': 9}
Csm_Types.h	:{'DCL23': 3, 'PRE00': 1, 'PRE02': 1}
DemAdapter_Cfg_EventId.h	:{'DCL23': 17}
Dem_Cfg_Client.h	:{'DCL23': 1}
Dem_Cfg_DTCs.h	:{'DCL23': 4}
Dem_Cfg_Deb.h	:{'DCL23': 551, 'PRE02': 1, 'PRE11': 1}
Dem_Cfg_DistMem.h	:{'DCL23': 3}
Dem_Cfg_DtcId.h	:{'DCL23': 221, 'PRE11': 2}
Dem_Cfg_EnvDataElement.h	:{'DCL23': 3}
Dem_Cfg_EnvDid.h	:{'DCL23': 1}
Dem_Cfg_EvBuff.h	:{'DCL23': 6}
Dem_Cfg_EvMem.h	:{'DCL23': 16}
Dem_Cfg_EventCategory.h	:{'DCL23': 3}
Dem_Cfg_EventId.h	:{'DCL23': 620}
Dem_Cfg_EventIndicators.h	:{'DCL23': 6, 'PRE00': 5, 'PRE12': 2}
Dem_Cfg_Events.h	:{'DCL23': 18}
Dem_Cfg_StorageCondition.h	:{'DCL23': 336}
Dio_Cfg.h	:{'DCL23': 79, 'PRE11': 1}
Ea_Cfg.h	:{'DCL23': 118}
Fee_Cfg.h	:{'DCL23': 89, 'PRE00': 1, 'PRE02': 1}
NvM_Cfg.h	:{'DCL23': 414}
PduR_Cfg_SymbolicNames.h	:{'DCL23': 100}
Port_Cfg.h	:{'DCL23': 13, 'PRE11': 1}
SecOC_Cfg.h	:{'DCL23': 16}
SecOC_Types.h	:{'DCL23': 2, 'PRE00': 1, 'PRE02': 1}
Spi_Cfg.h	:{'DCL23': 4, 'PRE00': 10, 'PRE01': 1, 'PRE11': 1, 'PRE12': 6}
rba_DemBfm_Cfg.h	:{'DCL23': 10, 'PRE02': 2}
rb_br_BackgroundRealtimeOverrideOptions_Cfg.h	:{'DCL23': 1}
rb_ci_ComInterfaceOptions_Cfg.h	:{'DCL23': 7}
rb_dsa_DataSamplerAlgoOverrideOptions_Cfg.h	:{'DCL23': 1}
rb_fcl_FireControlLogicalOverrideOptions_Cfg.h	:{'DCL23': 1}
rb_sbs_SecurityBaseServicesOptions_Cfg.h	:{'DCL23': 1}
rb_slm_SecureLifecycleManagerOptions_Cfg.h	:{'DCL23': 1}
rb_wim_WarningIndicatorMgtOverrideOptions_Cfg.h	:{'DCL23': 1}
Bfx_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
BswM_Cfg_MemMap.h	:{'DCL23': 16, 'PRE06': 1}
BswM_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
CanIf_MemMap.h	:{'DCL23': 10, 'PRE06': 1}
CanSM_MemMap.h	:{'DCL23': 12, 'PRE06': 1}
CanTp_MemMap.h	:{'DCL23': 6, 'PRE06': 1}
Can_MemMap.h	:{'DCL23': 6, 'PRE06': 1}
ComM_Cfg_MemMap.h	:{'DCL23': 4, 'PRE06': 1}
Com_MemMap.h	:{'DCL23': 16}
Crc_MemMap.h	:{'DCL23': 8, 'PRE06': 1}
Dcm_Cfg_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
Dem_Cfg_MemMap.h	:{'DCL23': 8, 'PRE06': 1}
E2E_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
Ea_MemMap.h	:{'DCL23': 14, 'PRE06': 1}
Eep_MemMap.h	:{'DCL23': 12, 'PRE06': 1}
Fee_MemMap.h	:{'DCL23': 16, 'PRE06': 1}
Fls_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
MemIf_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
NvM_MemMap.h	:{'DCL23': 8, 'PRE06': 1}
PduR_MemMap.h	:{'DCL23': 4, 'PRE06': 1}
SecOC_MemMap.h	:{'DCL23': 4, 'PRE06': 1}
rba_Can_MemMap.h	:{'DCL23': 12, 'PRE06': 1}
rba_CryptoHSM_MemMap.h	:{'DCL23': 16, 'PRE06': 1}
rba_DiagLib_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
rba_MemLib_MemMap.h	:{'DCL23': 2, 'PRE06': 1}
rba_CryptoHSM_Cfg_SchM.h	:{'DCL23': 2, 'PRE00': 22}
CryIf_MemMap.h	:{'DCL23': 6, 'PRE06': 1}
Csm_Cfg_SchM.h	:{'DCL23': 2, 'PRE00': 6}
Csm_MemMap.h	:{'DCL23': 4, 'PRE06': 1}
rba_BCL_Core_autoconf.h	:{'DCL23': 56}
rba_CryptoBCL_Cfg_SchM.h	:{'DCL23': 4, 'PRE00': 14}
rba_CryptoBCL_MemMap.h	:{'DCL23': 10, 'PRE06': 1}
rb_rmac_ReleaseMatrix_Cfg.h	:{'DCL23': 13}
rb_acc_AlgoConsistencyChecks_InterfacesStaticDefinitions_Cfg.h	:{'DCL23': 1}
rb_algc_AfnFireFlagCreation_Cfg.h	:{'DCL23': 2}
rb_algc_ErrPrequalification_Cfg.h	:{'DCL23': 1}
rb_algc_FrontReaAlgo_General_Cfg.h	:{'DCL23': 15}
rb_dsa_DataSamplerAlgoCust_Cfg.h	:{'DCL23': 4, 'PRE02': 1, 'PRE11': 4}
rb_sim_SensorInterfaceMonitoring_Cfg.h	:{'DCL23': 1}
rb_dcdd_DynamicDataSampler_Cfg.h	:{'DCL23': 32, 'PRE02': 58}
rb_dcrm_ReportManager_Cfg.h	:{'DCL23': 1753, 'PRE02': 10}
rb_dcs_CustDataCollector_Cfg.h	:{'DCL23': 85, 'PRE00': 4, 'PRE02': 78}
rb_prod_ProductionDiagnosis_InterfacesStaticDefinitions_Cfg.h	:{'DCL23': 1}
rb_csem_CustCentralSensorMgtOptions_Cfg.h	:{'DCL23': 1}
rb_ocs_CustOCSComInterfaceOption_Cfg.h	:{'DCL23': 1}
rb_blif_BootLoaderInterfaceSimplified_Cfg.h	:{'DCL23': 3, 'PRE02': 3}
rb_simc_CustSensorInterfaceMonitoring_Interfaces.h	:{'DCL23': 1}
rb_simc_CustSensorInterfaceMonitoring_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_co_CustCrashOutput_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_ocs_CustOCSKlineComInterface.h	:{'DCL23': 1}
rb_ocs_CustOCSManagement_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_wim_CustWarningIndicatorMgt_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_cap_CustFmCanApplication_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_cap_CustRxCanApplication_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_cap_CustTxCanApplication_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_cma_CustComApplication_Interfaces.h	:{'DCL23': 1}
rb_drc_CustRoutineControl_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_dsa_CustSecurityAccess_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_dcs_CustDataCollectorSystem_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_kms_CustKeyMgmtSystem_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_vdt_CustVehicleDataTransfer_InterfacesStaticDefinitions.h	:{'DCL23': 1}
rb_algm_DisableLineSettings_RomCfg.c	:{'DCL23': 1, 'STR09': 16, 'STR34': 16}
rb_sycc_SysConfCs_Cfg.c	:{'DCL23': 1, 'DCL40': 1}
rb_sycg_SysConfGeneral_Cfg.c	:{'DCL23': 2, 'DCL40': 5}
rb_syco_SysConfAOut_Cfg.c	:{'DCL23': 1, 'DCL40': 2}
rb_sycs_SysConfSwm_Cfg.c	:{'DCL23': 1, 'DCL40': 2}
rb_sdm_SafeDataMgt_RomCfg.c	:{'DCL23': 1, 'DCL40': 1, 'EXP05': 36, 'EXP32': 3}
Eep_Rb_Timer.h	:{'DCL37': 1, 'PRE00': 1}
rba_BCL_Core_types.h	:{'DCL37': 3, 'PRE03': 1}
rb_sfsm_Stacks_Cfg.h	:{'DCL40': 1, 'EXP00': 2}
rb_aodp_AODParameters_Cfg.c	:{'DCL40': 2}
rb_dcs_CustDCController_Cfg.c	:{'DCL40': 1}
rb_dem_FaultMgt_Cfg.c	:{'DCL40': 1}
rb_psem_PeripheralSensorMgt_Cfg.c	:{'DCL40': 3}
rb_svr_SafetyVoltageRegulator_Cfg.c	:{'DCL40': 2}
rb_swm_SwitchMgt_Cfg.c	:{'DCL40': 2}
rb_sycf_SysConfSqm_Cfg.c	:{'DCL40': 2}
rb_drdi_ReadCrashRecorderData_EeCfg.c	:{'DCL40': 1}
rb_dsa_SecurityAccess_EeCfg.c	:{'DCL40': 1}
rb_dwdi_WriteDataByIdentifier_EeCfg.c	:{'DCL40': 1}
rb_sdm_SafeDataMgt_EeCfg.c	:{'DCL40': 1, 'EXP00': 1, 'STR09': 1, 'STR34': 1}
rb_blif_BootLoaderInterfaceSimplified_RomCfg.c	:{'DCL40': 1}
rb_drdi_ReadCrashRecorderData_RomCfg.c	:{'DCL40': 1}
rb_ctf_CustTemporatyFunctions.c	:{'DCL40': 1}
rb_dsai_CustDataSamplerAlgoInterface.h	:{'EXP00': 3, 'PRE02': 2}
rb_sycf_SysConfSqm_Cfg.h	:{'EXP00': 2}
rb_syco_SysConfAOut_Cfg.h	:{'EXP00': 2}
rb_sycs_SysConfSwm_Cfg.h	:{'EXP00': 2, 'STR09': 2, 'STR34': 2}
rb_dcrm_ReportManager_Cfg.c	:{'EXP00': 8, 'EXP32': 117}
rb_sdm_SafeDataMgt_Cfg.h	:{'EXP00': 3, 'STR09': 3, 'STR34': 3}
rb_edpi_CustEnvDataPreparationInterface.c	:{'EXP14': 68}
rb_dcdd_DynamicDataSampler_Cfg.c	:{'EXP32': 122}
Adc_Cfg.h	:{'PRE00': 1}
Crypto_Prv.h	:{'PRE00': 4, 'PRE12': 4}
Dem_Cfg.h	:{'PRE00': 1, 'PRE01': 1, 'PRE02': 1}
Fls_Rb_Extension.h	:{'PRE00': 1, 'PRE12': 1}
PduR_CanIf_Lo.h	:{'PRE00': 9, 'PRE12': 2}
PduR_CanTp_Lo.h	:{'PRE00': 20, 'PRE12': 5}
PduR_Dcm_Up.h	:{'PRE00': 8, 'PRE12': 1}
rba_DemBfm_Utils.h	:{'PRE00': 6}
BswM_Cfg_SchM.h	:{'PRE00': 2}
CanTp_Cfg_SchM.h	:{'PRE00': 2}
Com_Cfg_SchM.h	:{'PRE00': 4}
Dem_Cfg_SchM.h	:{'PRE00': 6}
Det_Cfg_SchM.h	:{'PRE00': 2}
Ea_Cfg_SchM.h	:{'PRE00': 2}
Eep_Cfg_SchM.h	:{'PRE00': 2}
Fee_Cfg_SchM.h	:{'PRE00': 2, 'PRE02': 2}
Fls_Cfg_SchM.h	:{'PRE00': 2}
MemIf_Cfg_SchM.h	:{'PRE00': 2}
NvM_Cfg_SchM.h	:{'PRE00': 2}
SchM_Adc.h	:{'PRE00': 16}
SchM_Default.h	:{'PRE00': 2}
SecOC_Cfg_SchM.h	:{'PRE00': 10}
Spi_Cfg_SchM.h	:{'PRE00': 2, 'PRE02': 2}
rba_Can_Cfg_SchM.h	:{'PRE00': 10}
rb_os_CanIrq_Cfg.h	:{'PRE00': 11}
rb_psem_PeripheralSensorMgt_Cfg.h	:{'PRE00': 1}
rb_wimi_SysWI_Cfg.h	:{'PRE00': 1, 'PRE02': 2}
